retailer,ingredient_key,name,line_count,status,each_to_grams,needs_substitution,spend_score,model,llm_notes,reviewer_notes,decided_by,created_at,updated_at,pantry_staple,search_term,alias_of,unit_kind
ocado,name:21 day aged british fillet steaks,british fillet steaks,40,approved,220.0,0,2600.0,,Ocado returned no products for this name — try rewording the search.,,human,2026-07-23 22:38:52.475554,2026-07-27 20:11:07.272362,0,british fillet steaks,,count
ocado,name:21 day aged british rump steaks,rump steaks,133,approved,200.0,0,585.2,,Ocado returned no products for this name — try rewording the search.,,human,2026-07-23 10:38:11.196096,2026-07-27 20:11:07.270964,0,rump steaks,,count
ocado,name:21 day aged british sirloin steaks,sirloin steaks,147,approved,200.0,0,2058.0,,Ocado returned no products for this name — try rewording the search.,,human,2026-07-23 10:37:57.640736,2026-07-27 20:11:07.270962,0,sirloin steaks,,count
ocado,name:97 pork sausages,97% Pork Sausages,11,approved,,0,35.75,gpt-5.6-luna,"Other candidates are pork sausages but do not state the required 97% pork specification, so they were excluded.",,human,2026-07-23 23:43:48.789127,2026-07-24 10:51:51.617333,0,,,mass
ocado,name:aioli,Aioli,42,approved,,0,73.5,gpt-5.6-luna,The first three products are directly labelled aioli/allioli. Garlic mayonnaise products are accepted as practical substitutes because aioli is a garlic mayonnaise-style sauce. Premium gourmet options were excluded.,,human,2026-07-23 22:38:17.576227,2026-07-23 22:46:20.551633,0,,,mass
ocado,name:all the greens veg side,All the Greens Veg Side,27,no_match,,0,,,Ocado returned no products for this name — try rewording the search.,,auto,2026-07-23 22:55:08.707597,2026-07-23 22:55:08.707606,0,,,mass
ocado,name:almonds,Almonds,5,approved,1.2,0,16.0,gpt-5.6-luna,"Plain whole or natural almonds are the best matches. Chopped, flaked and ground products are included only as form-different options; roasted, salted, seasoned, sweetened, butter and premium flavoured products were excluded.",,human,2026-07-24 16:54:18.504144,2026-07-27 20:11:07.274612,0,,,count
ocado,name:amarillo chilli paste,Amarillo Chilli Paste,8,needs_review,,1,22.2,gpt-5.6-luna,"None of the candidates is Amarillo (Peruvian yellow chilli) paste. Use a suitable yellow chilli paste if available; otherwise substitute with a generic chilli paste plus yellow pepper puree, adjusting heat and seasoning.",,human,2026-07-24 10:54:23.356022,2026-07-24 10:58:18.232973,0,,,mass
ocado,name:apple,Apple,397,approved,150.0,0,714.6,gpt-5.6-luna,"All accepted products are whole apples; the named varieties can generally substitute for generic apple in recipes. Cooking apples, mini apples, and pre-sliced apples were not prioritised because they are specialised or different forms.",,human,2026-07-21 17:42:53.584703,2026-07-27 20:11:07.269788,0,,,count
ocado,name:apple and sage jelly,apple jelly,85,approved,,0,331.5,,Ocado returned no products for this name — try rewording the search.,,human,2026-07-23 15:54:57.151137,2026-07-27 11:22:12.742107,0,apple jelly,,mass
ocado,name:apple chutney,Apple Chutney,7,approved,,0,18.55,gpt-5.6-luna,"The other candidates are tomato chutney, a hot sauce, or a mixed fig/apple fruit product rather than straightforward apple chutney.",,human,2026-07-24 10:58:47.879879,2026-07-24 16:46:46.670406,0,,,mass
