retailer,ingredient_key,sku,rank,match_type,accepted,reason,source,llm_rank
ocado,name:21 day aged british fillet steaks,6faaccb6-131a-4a24-b2f1-7f82da002296,1,exact,1,,human,
ocado,name:21 day aged british fillet steaks,78ae1318-fed8-4f09-8625-f3f9bf1bb9b7,2,exact,1,,human,
ocado,name:21 day aged british rump steaks,dac7c879-2fa8-42ad-bb42-cd82c8dcdf77,1,exact,1,,human,
ocado,name:21 day aged british rump steaks,14ec8fa7-e8e0-464e-92d4-68c5e077b8cc,2,exact,1,,human,
ocado,name:21 day aged british rump steaks,682ebb3a-d699-4e3c-a59d-7f509b65c510,3,exact,1,,human,
ocado,name:21 day aged british sirloin steaks,d2432b01-68de-4920-a448-ec06cefc7bc6,1,exact,1,,human,
ocado,name:21 day aged british sirloin steaks,ee91a823-b8c7-454a-a1e7-8d21b733417c,2,exact,1,,human,
ocado,name:21 day aged british sirloin steaks,97a7f6cd-758b-4396-a8de-ef883d82dc40,3,exact,1,,human,
ocado,name:97 pork sausages,ebeed61a-739d-4953-ad09-988635a48519,1,exact,1,Explicitly 97% pork sausages; the 400g pack is a good fit for the typical 250g recipe usage.,human,
ocado,name:97 pork sausages,20f3af45-dce9-4c79-aa19-dcd93309180f,2,form_differs,1,"Explicitly 97% pork, but chipolata-sized rather than standard sausages; 340g pack suits the typical usage well.",human,
ocado,name:97 pork sausages,aa243380-4cf5-4918-af36-a6233a75621c,3,exact,1,"Explicitly 97% pork sausages and good value, though the 660g pack is larger than usually needed.",human,
ocado,name:aioli,4d6d09df-b472-4b8c-855a-59763a328f1e,1,exact,1,"Clearly labelled aioli and a good-value 200g pack, well suited to the typical 50g usage.",human,
ocado,name:aioli,d810b960-423c-49d1-8387-24f39b18081c,2,exact,1,Allioli is the same garlic-emulsion sauce as aioli; good 171g pack and strong rating.,human,
ocado,name:aioli,3c47ec8e-67cb-45d7-a3f2-05e0dc571dbc,3,exact,1,"Clearly labelled garlic aioli, though less well rated and slightly larger at 240ml.",human,
ocado,name:aioli,81e0fb72-4ef9-4b9b-a02a-420d50656def,4,substitute,1,"Garlic mayonnaise is a practical commercial substitute for aioli, with good value per kg and a strong rating.",human,
ocado,name:aioli,bbf1ad2a-218b-4a45-a7e0-97a542cebc0c,5,substitute,1,Garlic mayonnaise is a suitable aioli substitute and offers good value in a 400ml pack.,human,
ocado,name:aioli,20c8c018-9b34-46fc-9db5-d825e7c34f19,6,substitute,1,"Garlic mayonnaise is suitable for most aioli uses, although the 345g pack is larger than needed.",human,
ocado,name:aioli,b2e81d4e-8cea-457a-b093-3e6c13775b60,7,substitute,1,"Garlic mayonnaise can replace aioli, but it is less highly rated and relatively expensive for the pack size.",human,
ocado,name:almonds,e5190802-2c41-4b5e-8771-9d13e022ba2e,1,exact,1,"Plain almonds in a practical 150g pack, suitable for typical recipe quantities and a good default.",human,
ocado,name:almonds,2cf3c667-adff-47b8-9313-35bf9844bc75,2,exact,1,"Ocado own-brand whole almonds in a suitable 200g pack and good value, though the rating is relatively modest.",human,
ocado,name:almonds,2d44300a-07a0-41ac-bd1e-fdf0940d1e63,3,exact,1,Plain whole almonds in a suitable 200g pack with a solid rating and reasonable value.,human,
ocado,name:almonds,1ccd8f33-b7bc-4861-a4e1-4daa5926a440,4,exact,1,M&S natural almonds; a suitable 150g pack and a useful plain form for most recipes.,human,
ocado,name:almonds,4b848999-5240-40cb-8d86-1149ad1e0e0d,5,exact,1,"Plain whole almonds in a 110g pack, convenient for smaller recipe usage.",human,
ocado,name:almonds,ea325eb5-e33e-42a1-b8a8-11301207ea5b,6,exact,1,Organic plain almonds in a small 100g pack; suitable but less good value than the higher-ranked options.,human,
ocado,name:almonds,05c7fd57-0313-4c46-b307-743144926eec,7,form_differs,1,"Chopped almonds are the correct ingredient in a pre-chopped form, useful where the recipe calls for chopped or topping almonds.",human,
ocado,name:almonds,09700415-60aa-4bbf-829b-19f6d6350703,8,form_differs,1,"Flaked almonds are the correct ingredient but a different form, best for toppings and recipes specifically requiring flakes.",human,
ocado,name:almonds,ffe04df7-7107-443c-808a-403a832f54fe,9,form_differs,1,Ground almonds are the correct ingredient but unsuitable where whole or sliced texture is required; useful for baking recipes calling for ground almonds.,human,
ocado,name:apple,6e7b7c27-46b1-4e52-93ba-2acc2fd9d2fa,1,exact,1,"Good-value Ocado apples in a standard six-pack, suitable for recipes calling for one or more apples.",human,
ocado,name:apple,b81414cd-f434-42b7-af0f-d3885d9b0a51,2,exact,1,Best-value Ocado seasonal apples and a practical six-pack for typical recipe quantities.,human,
ocado,name:apple,564146bb-6db9-4d16-8be9-0ca1e727825d,3,exact,1,Good-value Ocado Granny Smith apples; a suitable choice where a tart apple is acceptable.,human,
ocado,name:apple,a5bdda51-2c71-4519-9702-dcba6c5aa057,4,exact,1,Good-value Ocado Jazz apples with a stronger rating than most similarly priced options.,human,
ocado,name:apple,0e9a801b-267f-4cef-9951-18993d7b4df1,5,exact,1,"Standard Ocado six-pack at a low price, suitable as a general sweet apple.",human,
ocado,name:apple,40092562-4e99-4c77-8a75-c8ec4e81de8d,6,exact,1,M&S Royal Gala apples in a useful four-pack; a reasonable alternative to the Ocado options.,human,
ocado,name:apple,7e897397-cc1f-4d72-a4dc-37ede6e9a378,7,exact,1,"Ocado Pink Lady apples are a direct match, though less good value than the higher-ranked options.",human,
ocado,name:apple,57c9fb5f-35f7-4a5c-ba50-8c0f9fd3540e,8,exact,1,"Good-rated Ocado Magic Star apples in a four-pack, but comparatively expensive per apple.",human,
ocado,name:apple and sage jelly,8507b183-0c27-4bfc-ac3d-e8040869fb4f,1,exact,1,,human,
ocado,name:apple chutney,4a54a70e-e863-4f7c-99eb-491bd6919553,1,exact,1,Apple-based chutney in a good-value 320g pack; suitable default for recipes calling for apple chutney.,human,
ocado,name:apple chutney,8507b183-0c27-4bfc-ac3d-e8040869fb4f,2,exact,1,"Apple and cider chutney, directly suitable but more expensive per gram and a slightly smaller pack.",human,
ocado,name:apple juice,71e8aec9-3867-4cbf-a54d-b713abba74d9,1,exact,1,Good-value plain apple juice in a practical 1L pack; suitable for typical 200–400ml recipe quantities.,human,
ocado,name:apple juice,cf1cee36-e388-4cd5-8345-68c934001724,2,exact,1,Ocado own-brand and the cheapest option; apple juice from concentrate is suitable for cooking and drinks.,human,
ocado,name:apple juice,dcf5cddf-d88e-4f57-92d5-c177d04aefe1,3,exact,1,"Ocado own-brand, plain apple juice not from concentrate; good 1L pack for recipe use.",human,
ocado,name:apple juice,d129104a-000f-40cb-b6bb-fe9174aaaefc,4,exact,1,Plain M&S apple juice in a 1L pack; good value and well suited to the typical usage.,human,
ocado,name:apple juice,477e72d3-9e2e-4d21-b325-bcc3673b71a9,5,form_differs,1,Cloudy apple juice is the correct ingredient with a less-filtered form; good value in a 1L pack.,human,
ocado,name:apple juice,1ee56edb-5df3-4479-b7a7-700c4044559f,6,form_differs,1,Cloudy apple juice in a larger value pack; suitable when several recipes or larger quantities are needed.,human,
ocado,name:apple juice,6050d59b-7777-4e3d-86d5-4d5c4a8333c0,7,exact,1,"Plain pressed apple juice with strong ratings, though it is less economical than own-brand alternatives.",human,
ocado,name:apple juice,d1bd9f20-ed11-4aca-a1d4-241dd1e50f2c,8,exact,1,"Plain pressed apple juice with a well-sized 900ml pack and strong rating, but at a higher unit price.",human,
ocado,name:apple juice,13010eab-aa21-4113-b15d-33299925e8d5,9,exact,1,Plain pressed apple juice; the 1.5L pack is useful for repeated or larger-batch cooking but is relatively expensive.,human,
ocado,name:apple juice,6ce961d8-52ea-431a-a623-0e5c63f19c97,10,exact,1,"Individual 200ml portions match the common recipe quantity closely, but the multipack has a weaker rating and is less flexible.",human,
ocado,name:apricot jam,916ff323-4860-417c-9025-b782d9e0ebe4,1,exact,1,Standard apricot jam in a practical 454g jar; excellent value and well rated.,human,
